,表达式,fitness,OOB fitness,训练集IC,样本外IC,训练集IR,样本外IR,训练集RankIC,样本外RankIC
0,"common_div(common_sqrt(common_mul(收盘价, 成交量)), common_sqrt(common_max(最高价, 成交额)))",0.07160597328614136,0.0,-0.07160597328614136,0.0,0.20800696894664966,0.0,0.12136492842425162,0.0
1,"common_div(最低价, 收盘价)",0.05826358490831747,0.0,0.05826358490831747,0.0,0.16554365705250354,0.0,-0.1437784564374327,0.0
2,"ts_mean_10(common_log(common_min(0.717, 开盘价)))",0.030271693781471605,0.0,-0.030271693781471605,0.0,0.09237112138242277,0.0,0.0,0.0
3,"common_max(common_sub(common_abs(0.660), ts_max_10(成交量)), common_mul(成交额, 成交量))",0.027625650272455896,0.0,-0.027625650272455896,0.0,0.07669877601312551,0.0,-0.14513649411536936,0.0
4,ts_std_10(ts_std_10(成交额)),0.026459036226093906,0.0,-0.026459036226093906,0.0,0.07663255812381628,0.0,0.0,0.0
5,"common_add(common_add(common_mul(成交量, 收盘价), common_add(成交量, 收盘价)), common_add(成交量, 收盘价))",0.02624301537139097,0.0,-0.02624301537139097,0.0,0.07076645442483033,0.0,-0.03815815212911,0.0
6,"common_add(common_abs(common_mul(成交额, 成交量)), common_add(成交量, 收盘价))",0.025854132269593398,0.0,-0.025854132269593398,0.0,0.0702983760829768,0.0,-0.0230326959192286,0.0
7,"common_div(common_abs(common_mul(成交额, 成交量)), common_sqrt(common_max(最高价, 成交额)))",0.02565350888913278,0.0,-0.02565350888913278,0.0,0.06925385254807367,0.0,-0.005244704120328141,0.0
8,"common_sub(最低价, 收盘价)",0.02547502227855384,0.0,0.02547502227855384,0.0,0.07362832592470143,0.0,-0.05376960521940483,0.0
9,"common_inv(ts_max_10(common_div(收盘价, 成交额)))",0.025246177372268936,0.0,-0.025246177372268936,0.0,0.07834377299523704,0.0,0.0,0.0
